PC_ID,UTM_E,UTM_N,n_1,n_2,n_3,n_4,n_5,Year,Study_Area,SA_CAT,County,RavenDensity
BC15,449053,4976770,NA,0,0,0,0,2018,Baker,Baker,Baker,1.751892328
BC16,466826,4964496,0,1,0,0,0,2018,Baker,Baker,Baker,1.556028843
BC17,478419,4963373,1,1,NA,0,0,2018,Baker,Baker,Baker,1.404745102
BC18,449214,4950435,NA,1,0,1,NA,2018,Baker,Baker,Baker,1.274212837
BC19,451228,4960096,0,0,0,1,1,2018,Baker,Baker,Baker,1.507780194
BC20,462771,4938870,0,0,0,0,1,2018,Baker,Baker,Baker,0.942190886
BC21,456425,4953595,NA,0,NA,1,0,2018,Baker,Baker,Baker,1.147470951
BC22,477106,4954136,0,0,NA,0,0,2018,Baker,Baker,Baker,0.980038881
BC23,460480,4951887,0,0,0,0,0,2018,Baker,Baker,Baker,1.281915784
BC25,465029,4947363,0,0,0,1,0,2018,Baker,Baker,Baker,0.647859216
BC26,444477,4958287,0,1,0,0,0,2018,Baker,Baker,Baker,1.467874527
BC27,447867,4981218,0,0,0,0,0,2018,Baker,Baker,Baker,1.50809741
BC28,472330,4941109,0,0,0,1,1,2018,Baker,Baker,Baker,0.853098691
BC29,467620,4947284,0,0,0,0,0,2018,Baker,Baker,Baker,0.463983864
BC30,441822,4974727,1,0,NA,1,0,2018,Baker,Baker,Baker,1.14217627
BC31,443772,4987810,0,NA,0,1,0,2018,Baker,Baker,Baker,0.816129684
BC32,456454,4960815,0,0,0,0,0,2018,Baker,Baker,Baker,1.333844543
BC33,445681,4968875,1,0,1,0,1,2018,Baker,Baker,Baker,1.413288593
BC34,445870,4965109,NA,1,NA,NA,NA,2018,Baker,Baker,Baker,1.484232664
BC35,454008,4972968,NA,NA,0,0,1,2018,Baker,Baker,Baker,1.261587381
BC36,450677,4985075,NA,0,NA,0,0,2018,Baker,Baker,Baker,0.626433551
BC37,442466,4955432,NA,0,0,1,1,2018,Baker,Baker,Baker,1.442199945
BC38,446885,4971927,0,0,0,1,1,2018,Baker,Baker,Baker,1.708363652
BC39,475630,4957119,NA,0,NA,0,0,2018,Baker,Baker,Baker,1.127330065
BU01,421146,4874817,0,0,0,1,1,2018,Bully Creek,Bully,Malheur,1.382750273
BU03,416579,4864518,0,NA,NA,0,NA,2018,Bully Creek,Bully,Malheur,1.058584929
BU06,443325,4879325,0,1,1,0,0,2018,Bully Creek,Bully,Malheur,1.146675587
BU07,432759,4861519,NA,0,0,0,0,2018,Bully Creek,Bully,Malheur,0.760664284
BU08,419268,4865141,0,NA,0,0,NA,2018,Bully Creek,Bully,Malheur,1.149923444
BU09,411896,4869345,0,0,1,0,NA,2018,Bully Creek,Bully,Malheur,1.595315456
BU10,430269,4877221,0,NA,0,1,1,2018,Bully Creek,Bully,Malheur,1.88296926
BU11,428332,4856563,NA,NA,0,0,0,2018,Bully Creek,Bully,Malheur,0.896469414
BU12,416732,4874243,0,0,0,1,1,2018,Bully Creek,Bully,Malheur,1.422571421
BU13,409820,4883035,1,NA,0,0,NA,2018,Bully Creek,Bully,Malheur,0.789950311
BU14,446679,4875049,1,0,0,0,1,2018,Bully Creek,Bully,Malheur,1.620896697
BU15,427022,4860593,NA,1,0,0,0,2018,Bully Creek,Bully,Malheur,0.805057824
BU16,408161,4873429,0,NA,0,0,NA,2018,Bully Creek,Bully,Malheur,0.742634416
BU17,430313,4868219,NA,0,NA,1,1,2018,Bully Creek,Bully,Malheur,1.176848531
BU18,429532,4884358,0,0,0,0,0,2018,Bully Creek,Bully,Malheur,1.816143274
